worker	dospert_eb_survey_2	dospert_eb_survey_3	dospert_eb_survey_4	dospert_eb_survey_5	dospert_eb_survey_6	dospert_eb_survey_7	dospert_eb_survey_8	dospert_eb_survey_9	dospert_eb_survey_10	dospert_eb_survey_11	dospert_eb_survey_12	dospert_eb_survey_13	dospert_eb_survey_14	dospert_eb_survey_15	dospert_eb_survey_16	dospert_eb_survey_17	dospert_eb_survey_18	dospert_eb_survey_19	dospert_eb_survey_20	dospert_eb_survey_21	dospert_eb_survey_22	dospert_eb_survey_23	dospert_eb_survey_24	dospert_eb_survey_25	dospert_eb_survey_26	dospert_eb_survey_27	dospert_eb_survey_28	dospert_eb_survey_29	dospert_eb_survey_30	dospert_eb_survey_31
s002	2.0	4.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	3.0	2.0	1.0	1.0	2.0	1.0	4.0	3.0	3.0	1.0	1.0	1.0	4.0	5.0	1.0	4.0
s005	3.0	4.0	1.0	5.0	1.0	2.0	3.0	1.0	2.0	3.0	1.0	4.0	3.0	1.0	1.0	1.0	1.0	4.0	2.0	1.0	5.0	3.0	1.0	1.0	1.0	1.0	3.0	4.0	1.0	3.0
s006	4.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
s007	1.0	3.0	5.0	7.0	1.0	3.0	1.0	4.0	2.0	4.0	2.0	5.0	3.0	5.0	4.0	1.0	1.0	7.0	5.0	1.0	7.0	5.0	1.0	2.0	5.0	2.0	5.0	6.0	1.0	5.0
s009	2.0	5.0	2.0	4.0	2.0	3.0	2.0	2.0	5.0	4.0	2.0	2.0	1.0	2.0	6.0	1.0	1.0	3.0	1.0	1.0	6.0	2.0	1.0	1.0	3.0	2.0	7.0	4.0	3.0	5.0
s011	5.0	5.0	5.0	5.0	1.0	7.0	1.0	5.0	1.0	6.0	1.0	5.0	1.0	6.0	7.0	1.0	1.0	7.0	5.0	1.0	7.0	5.0	1.0	1.0	1.0	1.0	5.0	7.0	1.0	7.0
s012	6.0	4.0	4.0	4.0	1.0	2.0	3.0	4.0	3.0	4.0	1.0	4.0	2.0	4.0	2.0	1.0	1.0	4.0	2.0	1.0	6.0	4.0	3.0	1.0	3.0	1.0	4.0	5.0	3.0	7.0
s017	1.0	3.0	1.0	4.0	3.0	5.0	1.0	2.0	4.0	4.0	2.0	4.0	4.0	3.0	5.0	1.0	1.0	4.0	2.0	1.0	6.0	2.0	1.0	2.0	5.0	1.0	1.0	4.0	2.0	4.0
s020	5.0	5.0	4.0	1.0	3.0	1.0	3.0	2.0	4.0	2.0	1.0	1.0	1.0	4.0	3.0	3.0	1.0	1.0	2.0	1.0	6.0	5.0	1.0	1.0	1.0	2.0	1.0	3.0	1.0	1.0
s026	1.0	4.0	4.0	4.0	2.0	5.0	1.0	4.0	3.0	5.0	1.0	4.0	1.0	4.0	3.0	1.0	1.0	4.0	2.0	1.0	5.0	1.0	1.0	2.0	2.0	1.0	2.0	5.0	1.0	1.0
s027	2.0	6.0	2.0	4.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	2.0	4.0	2.0	2.0	1.0	1.0	4.0	4.0	1.0	4.0	2.0	1.0	1.0	2.0	1.0	4.0	5.0	1.0	2.0
s028	4.0	5.0	3.0	5.0	2.0	2.0	4.0	2.0	2.0	2.0	2.0	4.0	2.0	2.0	2.0	3.0	2.0	4.0	2.0	2.0	5.0	3.0	1.0	2.0	2.0	2.0	3.0	4.0	2.0	3.0
s029	2.0	5.0	7.0	6.0	1.0	5.0	5.0	7.0	1.0	2.0	6.0	5.0	3.0	7.0	2.0	2.0	1.0	2.0	7.0	2.0	4.0	5.0	1.0	3.0	5.0	3.0	6.0	4.0	2.0	1.0
s032	4.0	4.0	2.0	6.0	1.0	2.0	4.0	1.0	2.0	3.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	4.0	4.0	1.0	1.0	3.0	1.0	3.0	4.0	1.0	4.0
s034	6.0	5.0	2.0	2.0	1.0	1.0	4.0	2.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	5.0	5.0	1.0	2.0	1.0	1.0	1.0	4.0	1.0	4.0
s042	4.0	5.0	2.0	5.0	2.0	1.0	3.0	2.0	2.0	2.0	1.0	3.0	5.0	2.0	1.0	2.0	1.0	3.0	1.0	1.0	6.0	4.0	1.0	3.0	4.0	1.0	6.0	5.0	1.0	5.0
s047	4.0	7.0	1.0	4.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	3.0	6.0	1.0	2.0	1.0	1.0	4.0	6.0	1.0	6.0	4.0	1.0	6.0	7.0	1.0	3.0	6.0	3.0	2.0
s049	2.0	3.0	4.0	5.0	1.0	4.0	2.0	4.0	1.0	3.0	1.0	3.0	2.0	4.0	1.0	1.0	1.0	5.0	1.0	1.0	4.0	3.0	1.0	1.0	1.0	1.0	2.0	4.0	1.0	2.0
s056	4.0	7.0	2.0	7.0	1.0	2.0	4.0	1.0	1.0	1.0	1.0	4.0	7.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	7.0	4.0	1.0	2.0	4.0	1.0	4.0	7.0	1.0	2.0
s060	4.0	3.0	4.0	7.0	1.0	4.0	2.0	3.0	5.0	5.0	1.0	3.0	2.0	4.0	6.0	3.0	2.0	4.0	2.0	3.0	7.0	2.0	3.0	2.0	4.0	1.0	5.0	4.0	2.0	4.0
s062	3.0	1.0	4.0	6.0	3.0	4.0	1.0	3.0	1.0	1.0	1.0	3.0	1.0	3.0	1.0	1.0	1.0	4.0	1.0	1.0	5.0	2.0	1.0	1.0	1.0	1.0	4.0	2.0	1.0	3.0
s063	6.0	6.0	1.0	5.0	1.0	4.0	3.0	1.0	1.0	1.0	1.0	6.0	6.0	1.0	4.0	1.0	1.0	6.0	1.0	1.0	6.0	5.0	2.0	1.0	1.0	2.0	6.0	6.0	1.0	5.0
s065	3.0	5.0	4.0	5.0	2.0	4.0	2.0	5.0	4.0	5.0	2.0	5.0	4.0	5.0	2.0	3.0	1.0	5.0	6.0	1.0	6.0	4.0	1.0	5.0	5.0	1.0	4.0	4.0	2.0	5.0
s066	4.0	1.0	4.0	5.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	5.0	2.0	1.0	5.0	4.0	1.0	7.0	5.0	1.0	1.0	4.0	1.0	6.0	6.0	1.0	4.0
s071	4.0	6.0	3.0	4.0	1.0	1.0	2.0	3.0	2.0	2.0	4.0	4.0	6.0	3.0	1.0	2.0	2.0	6.0	3.0	2.0	7.0	4.0	1.0	3.0	6.0	2.0	4.0	6.0	1.0	2.0
s077	4.0	2.0	2.0	4.0	1.0	1.0	4.0	2.0	2.0	1.0	2.0	3.0	1.0	1.0	1.0	1.0	4.0	5.0	2.0	1.0	7.0	4.0	1.0	1.0	4.0	1.0	1.0	5.0	1.0	1.0
s081	4.0	2.0	1.0	2.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	3.0	3.0	1.0	7.0	2.0	1.0	3.0	2.0	1.0	6.0	7.0	1.0	4.0
s082	4.0	2.0	3.0	6.0	1.0	4.0	1.0	4.0	2.0	5.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	3.0	1.0	1.0	7.0	1.0	1.0	1.0	1.0	1.0	4.0	3.0	1.0	6.0
s083	1.0	2.0	2.0	7.0	1.0	3.0	3.0	2.0	3.0	1.0	1.0	5.0	3.0	2.0	3.0	1.0	1.0	7.0	1.0	1.0	7.0	5.0	1.0	1.0	3.0	2.0	6.0	7.0	1.0	6.0
s084	2.0	6.0	3.0	5.0	1.0	1.0	3.0	2.0	1.0	1.0	1.0	4.0	2.0	4.0	1.0	1.0	1.0	4.0	4.0	1.0	5.0	4.0	1.0	1.0	4.0	1.0	4.0	5.0	1.0	2.0
s085	4.0	4.0	2.0	4.0	1.0	2.0	3.0	2.0	2.0	2.0	3.0	3.0	2.0	2.0	2.0	1.0	1.0	3.0	4.0	2.0	6.0	3.0	1.0	4.0	5.0	2.0	6.0	5.0	1.0	2.0
s086	3.0	3.0	1.0	3.0	3.0	1.0	3.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	4.0	1.0	1.0	1.0	2.0	1.0	3.0	2.0	1.0	2.0	3.0	1.0	3.0	3.0	1.0	2.0
s089	5.0	5.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	3.0	2.0	2.0	4.0	2.0	1.0	1.0	1.0	2.0	2.0	1.0	6.0	5.0	1.0	1.0	2.0	1.0	2.0	4.0	1.0	6.0
s091	2.0	2.0	3.0	2.0	1.0	1.0	2.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	2.0	1.0	3.0	2.0	2.0	6.0	3.0	2.0	1.0	2.0	1.0	3.0	4.0	1.0	5.0
s092	3.0	2.0	2.0	5.0	1.0	3.0	2.0	4.0	2.0	3.0	1.0	3.0	2.0	4.0	3.0	2.0	1.0	4.0	4.0	1.0	6.0	4.0	1.0	2.0	2.0	1.0	4.0	6.0	1.0	2.0
s093	4.0	7.0	2.0	5.0	2.0	2.0	3.0	2.0	3.0	1.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	2.0	4.0	1.0	5.0	3.0	1.0	3.0	4.0	1.0	3.0	2.0	1.0	3.0
s094	4.0	6.0	1.0	4.0	2.0	2.0	4.0	2.0	2.0	2.0	1.0	2.0	5.0	1.0	2.0	1.0	1.0	2.0	4.0	1.0	7.0	4.0	1.0	4.0	5.0	1.0	5.0	6.0	1.0	2.0
s096	3.0	3.0	2.0	5.0	2.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	3.0	3.0	2.0	4.0	3.0	2.0	2.0	4.0	2.0	3.0	4.0	2.0	2.0
s097	1.0	3.0	3.0	5.0	4.0	3.0	3.0	2.0	3.0	4.0	1.0	2.0	3.0	3.0	3.0	1.0	1.0	4.0	4.0	1.0	6.0	3.0	2.0	3.0	4.0	2.0	4.0	4.0	1.0	4.0
s098	4.0	7.0	2.0	4.0	1.0	3.0	5.0	3.0	1.0	2.0	1.0	3.0	5.0	2.0	1.0	1.0	1.0	5.0	7.0	1.0	7.0	5.0	2.0	7.0	7.0	1.0	4.0	4.0	1.0	4.0
s099	4.0	4.0	5.0	3.0	1.0	4.0	3.0	5.0	4.0	4.0	2.0	4.0	2.0	4.0	3.0	3.0	1.0	4.0	2.0	1.0	7.0	4.0	1.0	1.0	2.0	2.0	5.0	5.0	1.0	5.0
s102	2.0	6.0	4.0	2.0	2.0	4.0	4.0	2.0	1.0	4.0	1.0	5.0	1.0	2.0	3.0	4.0	1.0	5.0	1.0	1.0	6.0	3.0	2.0	1.0	2.0	4.0	5.0	6.0	3.0	5.0
s103	3.0	5.0	3.0	4.0	1.0	5.0	6.0	2.0	2.0	3.0	3.0	4.0	4.0	2.0	2.0	1.0	2.0	5.0	5.0	2.0	6.0	3.0	2.0	2.0	7.0	2.0	4.0	5.0	3.0	5.0
s105	2.0	4.0	2.0	2.0	1.0	4.0	1.0	3.0	4.0	4.0	1.0	2.0	4.0	2.0	4.0	1.0	4.0	2.0	4.0	1.0	7.0	1.0	1.0	4.0	4.0	1.0	1.0	4.0	4.0	7.0
s106	4.0	1.0	1.0	4.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0	5.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	6.0	4.0	1.0	1.0	1.0	1.0	7.0	7.0	1.0	1.0
s107	4.0	6.0	2.0	6.0	5.0	4.0	1.0	2.0	1.0	1.0	1.0	3.0	2.0	2.0	2.0	1.0	1.0	3.0	3.0	1.0	6.0	3.0	1.0	2.0	6.0	3.0	1.0	4.0	1.0	2.0
s108	3.0	2.0	1.0	2.0	3.0	2.0	3.0	2.0	4.0	1.0	1.0	2.0	1.0	2.0	4.0	2.0	1.0	2.0	1.0	1.0	5.0	3.0	2.0	1.0	1.0	2.0	3.0	5.0	2.0	3.0
s109	3.0	4.0	2.0	2.0	2.0	2.0	3.0	2.0	2.0	3.0	4.0	3.0	4.0	3.0	2.0	1.0	1.0	2.0	5.0	2.0	5.0	3.0	1.0	4.0	4.0	3.0	5.0	5.0	1.0	3.0
s110	7.0	7.0	1.0	4.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	3.0	4.0	1.0	2.0	2.0	2.0	1.0	6.0	1.0	1.0	4.0	1.0	1.0
s111	4.0	5.0	3.0	7.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	4.0	3.0	1.0	1.0	1.0	1.0	6.0	7.0	1.0	7.0	3.0	4.0	6.0	7.0	1.0	4.0	7.0	2.0	3.0
s112	3.0	3.0	3.0	5.0	4.0	5.0	3.0	3.0	1.0	4.0	3.0	4.0	2.0	3.0	1.0	1.0	1.0	5.0	2.0	1.0	7.0	3.0	3.0	1.0	3.0	1.0	3.0	5.0	2.0	7.0
s114	1.0	4.0	2.0	4.0	1.0	2.0	1.0	2.0	2.0	3.0	3.0	2.0	3.0	2.0	4.0	2.0	1.0	4.0	4.0	1.0	6.0	2.0	4.0	4.0	3.0	1.0	2.0	3.0	1.0	4.0
s123	3.0	3.0	2.0	3.0	1.0	1.0	1.0	3.0	4.0	2.0	2.0	3.0	3.0	3.0	4.0	1.0	1.0	3.0	4.0	2.0	5.0	2.0	1.0	1.0	2.0	1.0	2.0	4.0	1.0	5.0
s128	2.0	1.0	4.0	4.0	3.0	6.0	3.0	4.0	1.0	3.0	1.0	4.0	1.0	4.0	5.0	1.0	1.0	5.0	2.0	1.0	5.0	3.0	1.0	1.0	1.0	1.0	2.0	4.0	1.0	5.0
s129	2.0	6.0	4.0	4.0	1.0	5.0	3.0	4.0	2.0	1.0	1.0	1.0	6.0	3.0	2.0	1.0	1.0	2.0	4.0	1.0	4.0	3.0	1.0	1.0	4.0	1.0	2.0	5.0	3.0	7.0
s131	1.0	4.0	1.0	4.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6.0	3.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0
s135	6.0	7.0	1.0	2.0	1.0	1.0	6.0	1.0	2.0	1.0	1.0	2.0	6.0	2.0	2.0	1.0	1.0	3.0	3.0	1.0	4.0	3.0	1.0	2.0	5.0	1.0	2.0	3.0	1.0	4.0
s140	2.0	4.0	1.0	6.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	2.0	1.0	5.0	1.0	1.0	4.0	2.0	1.0	1.0	5.0	2.0	2.0	4.0	3.0	2.0
s142	1.0	7.0	1.0	4.0	3.0	4.0	1.0	1.0	4.0	5.0	2.0	1.0	4.0	1.0	3.0	1.0	1.0	2.0	7.0	1.0	6.0	1.0	1.0	6.0	7.0	1.0	4.0	4.0	1.0	4.0
s145	4.0	6.0	3.0	5.0	2.0	5.0	4.0	3.0	2.0	2.0	3.0	6.0	1.0	4.0	2.0	1.0	1.0	4.0	2.0	1.0	6.0	4.0	2.0	2.0	4.0	2.0	1.0	4.0	2.0	2.0
s149	2.0	5.0	4.0	5.0	2.0	5.0	3.0	5.0	4.0	5.0	3.0	5.0	5.0	5.0	4.0	1.0	2.0	5.0	5.0	3.0	6.0	3.0	2.0	4.0	4.0	3.0	4.0	5.0	2.0	5.0
s155	4.0	7.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	7.0	7.0	1.0	1.0	1.0	1.0	7.0	7.0	1.0	4.0
s156	6.0	7.0	2.0	4.0	3.0	4.0	4.0	2.0	1.0	1.0	5.0	4.0	6.0	2.0	4.0	1.0	1.0	5.0	5.0	1.0	7.0	6.0	2.0	6.0	6.0	3.0	4.0	5.0	2.0	1.0
s161	2.0	4.0	3.0	5.0	1.0	2.0	2.0	3.0	1.0	3.0	1.0	3.0	2.0	3.0	1.0	1.0	1.0	5.0	2.0	1.0	4.0	3.0	1.0	1.0	2.0	1.0	3.0	4.0	1.0	3.0
s163	1.0	1.0	1.0	4.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	4.0	1.0	1.0	1.0	1.0	4.0	4.0	1.0	4.0
s165	4.0	2.0	1.0	6.0	1.0	3.0	3.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	6.0	1.0	1.0	7.0	4.0	1.0	1.0	5.0	1.0	2.0	5.0	1.0	3.0
s168	5.0	4.0	1.0	4.0	2.0	3.0	4.0	1.0	3.0	2.0	1.0	3.0	3.0	1.0	3.0	2.0	2.0	3.0	4.0	2.0	4.0	3.0	3.0	3.0	4.0	1.0	6.0	5.0	3.0	4.0
s170	3.0	7.0	1.0	2.0	1.0	7.0	7.0	1.0	1.0	1.0	3.0	1.0	7.0	1.0	2.0	1.0	1.0	4.0	4.0	2.0	7.0	4.0	1.0	4.0	1.0	2.0	2.0	7.0	1.0	7.0
s173	4.0	3.0	2.0	7.0	1.0	3.0	4.0	2.0	1.0	1.0	2.0	4.0	1.0	1.0	1.0	2.0	1.0	5.0	3.0	1.0	6.0	3.0	1.0	2.0	3.0	1.0	4.0	4.0	5.0	6.0
s179	1.0	5.0	2.0	3.0	1.0	2.0	4.0	1.0	1.0	6.0	5.0	3.0	7.0	1.0	1.0	2.0	1.0	6.0	6.0	1.0	6.0	1.0	1.0	5.0	7.0	1.0	7.0	7.0	5.0	4.0
s180	3.0	5.0	4.0	5.0	2.0	5.0	3.0	4.0	2.0	2.0	4.0	5.0	4.0	4.0	1.0	1.0	3.0	6.0	5.0	3.0	5.0	4.0	2.0	4.0	5.0	3.0	5.0	4.0	1.0	2.0
s182	3.0	3.0	6.0	5.0	3.0	5.0	2.0	4.0	4.0	4.0	2.0	5.0	3.0	4.0	2.0	3.0	2.0	5.0	4.0	2.0	6.0	3.0	2.0	2.0	4.0	2.0	4.0	4.0	2.0	4.0
s184	5.0	6.0	4.0	6.0	1.0	4.0	4.0	4.0	2.0	1.0	1.0	4.0	4.0	4.0	6.0	1.0	1.0	5.0	5.0	1.0	7.0	3.0	2.0	4.0	5.0	2.0	5.0	7.0	1.0	1.0
s186	1.0	3.0	2.0	5.0	1.0	2.0	1.0	3.0	3.0	3.0	2.0	3.0	1.0	3.0	3.0	2.0	1.0	3.0	1.0	1.0	7.0	3.0	7.0	1.0	5.0	2.0	4.0	5.0	1.0	3.0
s187	5.0	4.0	3.0	3.0	3.0	3.0	4.0	3.0	3.0	4.0	3.0	3.0	4.0	3.0	2.0	2.0	1.0	1.0	4.0	3.0	4.0	3.0	4.0	4.0	5.0	2.0	4.0	5.0	1.0	2.0
s188	1.0	7.0	3.0	5.0	1.0	3.0	2.0	1.0	3.0	6.0	1.0	3.0	2.0	1.0	4.0	2.0	1.0	2.0	4.0	2.0	6.0	4.0	1.0	2.0	5.0	1.0	7.0	5.0	1.0	5.0
s190	4.0	3.0	2.0	5.0	2.0	1.0	3.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	1.0	3.0	2.0	1.0	6.0	5.0	1.0	2.0	2.0	2.0	3.0	4.0	2.0	3.0
s192	3.0	5.0	2.0	6.0	1.0	1.0	2.0	2.0	1.0	3.0	4.0	2.0	2.0	2.0	2.0	1.0	1.0	3.0	3.0	1.0	6.0	2.0	1.0	2.0	4.0	1.0	4.0	4.0	1.0	5.0
s196	6.0	7.0	2.0	2.0	3.0	3.0	6.0	3.0	1.0	1.0	4.0	3.0	5.0	3.0	2.0	1.0	1.0	2.0	4.0	2.0	7.0	5.0	1.0	2.0	4.0	1.0	7.0	7.0	1.0	2.0
s198	3.0	4.0	3.0	5.0	2.0	2.0	4.0	4.0	2.0	2.0	2.0	4.0	3.0	4.0	3.0	2.0	2.0	4.0	3.0	2.0	5.0	4.0	2.0	3.0	3.0	3.0	3.0	5.0	2.0	4.0
s202	1.0	7.0	4.0	3.0	1.0	5.0	4.0	3.0	7.0	5.0	6.0	7.0	6.0	4.0	3.0	1.0	2.0	6.0	7.0	1.0	7.0	2.0	6.0	6.0	7.0	2.0	7.0	7.0	1.0	6.0
s205	2.0	3.0	3.0	3.0	1.0	1.0	3.0	3.0	1.0	2.0	1.0	2.0	1.0	2.0	2.0	1.0	1.0	3.0	1.0	1.0	3.0	2.0	1.0	1.0	1.0	1.0	2.0	3.0	1.0	6.0
s206	3.0	5.0	1.0	7.0	1.0	2.0	3.0	3.0	1.0	3.0	2.0	4.0	4.0	1.0	2.0	1.0	1.0	7.0	6.0	1.0	6.0	3.0	1.0	5.0	2.0	1.0	6.0	5.0	1.0	6.0
s207	4.0	3.0	2.0	4.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	3.0	2.0	2.0	1.0	2.0	1.0	1.0	4.0	1.0	1.0
s208	2.0	4.0	3.0	6.0	2.0	1.0	3.0	3.0	2.0	4.0	3.0	3.0	3.0	2.0	2.0	2.0	1.0	3.0	3.0	2.0	5.0	4.0	1.0	2.0	3.0	4.0	4.0	5.0	2.0	2.0
s209	1.0	2.0	1.0	2.0	1.0	1.0	5.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	6.0	5.0	1.0	1.0	1.0	1.0	3.0	4.0	1.0	1.0
s210	2.0	5.0	3.0	2.0	1.0	4.0	4.0	3.0	4.0	4.0	5.0	2.0	4.0	3.0	4.0	2.0	1.0	3.0	5.0	1.0	6.0	2.0	1.0	4.0	6.0	4.0	3.0	4.0	1.0	5.0
s212	6.0	6.0	1.0	2.0	1.0	1.0	6.0	1.0	4.0	2.0	1.0	2.0	5.0	1.0	1.0	2.0	1.0	2.0	2.0	1.0	7.0	6.0	2.0	1.0	6.0	2.0	6.0	6.0	2.0	4.0
s216	3.0	6.0	1.0	2.0	2.0	4.0	3.0	3.0	6.0	5.0	1.0	2.0	2.0	2.0	1.0	3.0	1.0	2.0	2.0	1.0	5.0	3.0	1.0	1.0	4.0	2.0	5.0	6.0	2.0	5.0
s218	4.0	3.0	1.0	1.0	1.0	1.0	7.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0
s226	5.0	6.0	2.0	3.0	2.0	2.0	4.0	2.0	1.0	1.0	2.0	2.0	2.0	1.0	3.0	1.0	1.0	1.0	5.0	3.0	7.0	5.0	1.0	4.0	2.0	2.0	5.0	7.0	4.0	2.0
s228	1.0	1.0	3.0	4.0	1.0	3.0	2.0	3.0	2.0	2.0	1.0	4.0	1.0	3.0	2.0	1.0	1.0	4.0	1.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	4.0
s233	2.0	4.0	3.0	4.0	1.0	1.0	4.0	1.0	7.0	1.0	1.0	1.0	2.0	1.0	5.0	1.0	1.0	1.0	1.0	1.0	6.0	4.0	1.0	1.0	1.0	4.0	7.0	5.0	1.0	4.0
s237	3.0	7.0	3.0	3.0	1.0	4.0	3.0	1.0	2.0	3.0	1.0	2.0	4.0	1.0	2.0	2.0	1.0	3.0	2.0	1.0	6.0	4.0	1.0	2.0	5.0	3.0	4.0	4.0	1.0	7.0
s238	1.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	4.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
s244	4.0	6.0	2.0	4.0	3.0	4.0	2.0	2.0	3.0	4.0	1.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	3.0	2.0	5.0	4.0	2.0	2.0	3.0	2.0	4.0	4.0	3.0	6.0
s246	4.0	5.0	5.0	3.0	3.0	2.0	3.0	4.0	2.0	2.0	1.0	4.0	3.0	4.0	2.0	2.0	1.0	3.0	4.0	1.0	3.0	4.0	1.0	1.0	4.0	3.0	6.0	6.0	1.0	3.0
