,Age,HighestEducation,HeightInches,WeightPounds,DivorceCount,LongestRelationship,RelationshipNumber,ChildrenNumber,HouseholdIncome,RetirementAccount,RetirementPercentStocks,MortgageDebt,CarDebt,EducationDebt,CreditCardDebt,OtherDebtAmount,CoffeeCupsPerDay,TeaCupsPerDay,CaffienatedSodaCansPerDay,CaffieneOtherSourcesDayMG,TrafficTicketsLastYearCount,TrafficAccidentsLifeCount,ArrestedChargedLifeCount
s045,29,4,72,200,0,24,2,0,30000,0.0,,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0
s050,23,4,70,175,0,34,1,0,77000,0.0,,2.0,1.0,3.0,2.0,1.0,4,0,0,10,0,0,0
s072,32,4,68,160,0,12,3,0,60000,1.0,5,1.0,1.0,1.0,1.0,1.0,1,2,0,0,0,1,0
s148,32,4,54,135,0,84,4,0,75000,0.0,,7.0,1.0,1.0,1.0,1.0,2,3,1,0,0,0,0
s164,50,3,63,230,1,2,5,2,65000,1.0,3,2.0,,,2.0,,1,3,0,0,1,2,0
s300,32,3,70,220,0,96,3,3,25000,0.0,0,2.0,4.0,6.0,4.0,7.0,1,1,1,0,3,5,0
s306,37,3,63,185,0,240,2,1,39000,0.0,,2.0,2.0,1.0,4.0,,1,0,0,25,0,2,1
s361,28,4,69,290,0,2,1,0,50000,0.0,0,,1.0,1.0,4.0,4.0,0,0,2,0,0,1,0
s367,28,1,61,341,0,0,0,0,323224,0.0,32,1.0,1.0,1.0,1.0,1.0,2,3,4,2,3,1,3
s385,42,2,5,180,2,96,4,1,11304,0.0,,2.0,1.0,6.0,1.0,4.0,1,0,2,0,0,2,0
s442,34,3,72,280,0,51,3,0,29000,0.0,,1.0,1.0,1.0,1.0,,0,0,0,0,0,0,0
s518,35,3,72,263,0,180,1,0,12000,0.0,,1.0,1.0,1.0,2.0,,2,0,5,500,0,0,0
s519,30,3,00,00,0,00,2,0,00,0.0,,,,,,,00,00,00,00,0,0,0
s525,29,3,64,145,0,127,5,2,28500,0.0,,1.0,1.0,4.0,2.0,1.0,8,0,2,0,0,0,0
s530,26,2,66,200,1,36,3,0,20000,0.0,,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,2
s532,42,3,68,155,0,60,5,1,24000,0.0,,,1.0,3.0,2.0,1.0,4,0,0,0,0,0,0
s536,42,6,70,150,0,13,4,3,73000,1.0,50,6.0,4.0,6.0,1.0,,2,1,1,60,0,2,0
s537,26,4,70,165,0,48,2,0,35000,0.0,0,1.0,1.0,1.0,1.0,1.0,3,0,0,100,0,1,0
s540,48,4,66,180,1,144,5,3,139000,1.0,10,4.0,3.0,1.0,3.0,,2,0,2,0,0,4,0
s547,24,4,75,190,0,16,1,0,40000,0.0,,1.0,1.0,3.0,2.0,1.0,2,0,0,0,0,0,0
s555,23,2,65,159,0,36,4,0,30000,0.0,,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0
s558,26,2,69,280,0,1,0,0,80000,0.0,,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0
